BCUT2D_LOGPLOW,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,SMR_VSA10,SMR_VSA2,TPSA,NumAliphaticCarbocycles,NumAromaticCarbocycles,Value
-2.301649,11.499023,14.358372,0.0,12.407033,46.416145,0.0,68.3,0.0,2.0,7.22
-2.3002713,0.0,13.139892,0.0,0.0,33.218796,0.0,106.38,0.0,2.0,4.96
-2.0468304,15.597501,18.385754,0.0,0.0,21.539299,0.0,99.25,0.0,2.0,6.77
-2.301481,5.760247,13.401775,4.305216,0.0,21.725336,0.0,84.67,0.0,2.0,5.88
-2.046828,15.597501,17.79219,0.0,0.0,21.539299,0.0,81.43,0.0,2.0,6.46
-2.0468266,15.597501,13.401775,0.0,11.336786,32.876083,0.0,81.43,0.0,2.0,6.59
-2.2287323,5.817863,23.760303,5.098682,10.197364,22.929129,0.0,119.47,0.0,1.0,8.74
-2.3820508,5.647177,9.499376,5.098682,0.0,5.647177,0.0,64.78,0.0,1.0,7.51
-2.343556,11.499023,14.358372,0.0,0.0,38.33812,0.0,59.51,0.0,2.0,7.22
-2.3029795,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,6.68
-2.3036242,0.0,17.93443,0.0,0.0,45.101654,0.0,89.54,0.0,2.0,5.92
-1.9175826,5.647177,9.499376,5.098682,0.0,5.647177,0.0,55.97,0.0,0.0,6.21
-2.3031769,0.0,13.139892,0.0,0.0,55.062294,0.0,63.24,0.0,2.0,6.62
-2.0351534,0.0,9.9679575,4.9839787,0.0,11.635726,0.0,74.09,0.0,2.0,7.66
-2.0468304,15.597501,13.401775,0.0,0.0,21.539299,0.0,81.43,0.0,2.0,5.71
-2.0324905,0.0,9.9679575,4.9839787,0.0,11.635726,0.0,64.86,0.0,2.0,7.06
